city,year_month,temperature_max,temperature_min,temperature_range,pressure,humidity,rain,wind,sunshine_rate
속초,2023-04,26.9,4.0,22.9,1011.6,61.0,57.0,2.2,53.61
속초,2023-05,34.4,5.5,28.9,1010.9,67.0,81.0,1.9,52.66
속초,2023-06,34.3,13.3,20.999999999999996,1004.5,74.0,200.1,1.8,55.26
속초,2023-07,35.1,19.6,15.5,1004.6,79.0,108.2,1.5,40.95
속초,2023-08,36.6,19.1,17.5,1004.5,85.0,669.6,1.4,47.36
속초,2023-09,30.6,13.6,17.0,1011.8,81.0,208.2,1.4,41.91
속초,2023-10,25.5,6.3,19.2,1015.5,59.0,31.4,1.8,62.69
속초,2023-11,27.5,-6.0,33.5,1016.5,48.0,60.1,2.4,68.58
속초,2023-12,19.0,-13.2,32.2,1020.7,56.0,205.0,2.3,58.72
속초,2024-01,11.1,-12.3,23.4,1021.2,53.0,11.6,2.0,66.64
속초,2024-02,18.1,-5.6,23.700000000000003,1023.1,75.0,125.7,1.7,35.1
속초,2024-03,20.6,-7.4,28.0,1015.2,58.0,58.6,2.2,57.32
속초,2024-04,27.1,2.1,25.0,1012.1,66.0,63.4,2.2,52.74
속초,2024-05,33.2,6.5,26.700000000000003,1009.7,61.0,63.4,2.6,59.13
속초,2024-06,34.2,11.2,23.000000000000004,1004.8,74.0,133.8,2.1,63.08
속초,2024-07,36.5,19.2,17.3,1003.1,75.0,109.3,2.4,33.41
속초,2024-08,36.6,20.7,15.900000000000002,1005.7,79.0,46.4,2.1,54.29
속초,2024-09,31.3,13.4,17.9,1012.7,85.0,457.9,2.2,30.63
속초,2024-10,25.0,8.1,16.9,1018.2,74.0,143.2,2.1,37.98
속초,2024-11,21.8,-0.9,22.7,1018.8,61.0,17.6,2.5,55.68
속초,2024-12,15.5,-5.2,20.7,1017.8,36.0,3.2,2.8,75.03
속초,2025-01,10.6,-11.5,22.1,1019.2,43.0,14.5,3.0,66.03
속초,2025-02,16.7,-11.5,28.2,1018.5,34.0,,3.0,77.49
속초,2025-03,24.9,-2.5,27.4,1015.7,61.0,98.4,2.8,54.24
북춘천,2023-04,27.8,-2.2,30.0,1003.6,65.0,95.7,1.6,52.67
북춘천,2023-05,31.4,2.3,29.099999999999998,1002.3,69.0,112.4,1.4,63.84
북춘천,2023-06,33.7,12.3,21.400000000000002,996.0,77.0,280.7,1.3,54.88
북춘천,2023-07,34.8,17.9,16.9,996.6,85.0,318.1,1.1,42.9
북춘천,2023-08,35.2,18.9,16.300000000000004,995.2,83.0,203.6,1.1,48.05
북춘천,2023-09,32.4,11.5,20.9,1002.8,84.0,119.5,0.9,49.12
북춘천,2023-10,23.5,-0.2,23.7,1008.1,82.0,25.9,0.8,56.26
북춘천,2023-11,25.9,-9.7,35.599999999999994,1010.1,71.0,80.3,1.3,59.64
북춘천,2023-12,16.9,-16.9,33.8,1013.6,72.0,77.3,1.1,55.29
북춘천,2024-01,10.0,-16.6,26.6,1013.9,66.0,8.9,1.1,62.06
북춘천,2024-02,17.3,-8.2,25.5,1013.6,69.0,45.0,1.1,45.56
북춘천,2024-03,22.5,-11.3,33.8,1006.8,55.0,40.9,1.5,59.04
북춘천,2024-04,30.6,0.0,30.6,1003.0,60.0,27.6,1.4,59.42
북춘천,2024-05,29.3,4.9,24.4,1002.0,69.0,126.9,1.4,59.04
북춘천,2024-06,36.1,9.9,26.200000000000003,996.6,69.0,124.5,1.3,67.65
북춘천,2024-07,34.1,20.5,13.600000000000001,995.7,86.0,411.1,1.4,33.18
북춘천,2024-08,36.2,18.5,17.700000000000003,996.7,80.0,92.7,1.1,61.1
북춘천,2024-09,35.4,10.4,25.0,1003.1,81.0,184.9,1.0,51.48
북춘천,2024-10,24.7,3.9,20.8,1009.6,82.0,68.5,0.9,47.67
북춘천,2024-11,23.0,-6.5,29.5,1010.9,75.0,27.7,1.0,66.15
북춘천,2024-12,11.9,-14.0,25.9,1011.8,63.0,3.6,1.0,70.46
북춘천,2025-01,8.8,-19.2,28.0,1012.6,69.0,16.6,1.0,56.95
북춘천,2025-02,12.5,-17.3,29.8,1012.4,54.0,1.5,1.5,81.19
북춘천,2025-03,24.3,-6.6,30.9,1007.1,58.0,26.2,1.6,63.03
철원,2023-04,27.0,-1.6,28.6,996.5,64.0,97.5,1.6,54.1
철원,2023-05,30.1,3.0,27.1,995.4,67.0,161.9,1.5,63.62
철원,2023-06,33.3,12.0,21.299999999999997,989.4,78.0,220.4,1.3,54.66
철원,2023-07,33.6,17.7,15.900000000000002,989.9,86.0,383.4,1.3,44.92
철원,2023-08,33.8,17.9,15.899999999999999,988.6,85.0,241.6,1.5,46.97
철원,2023-09,31.8,10.7,21.1,995.9,84.0,102.9,1.2,51.59
철원,2023-10,22.8,-0.4,23.2,1001.0,79.0,30.5,0.9,65.89
철원,2023-11,24.6,-11.6,36.2,1003.1,73.0,104.9,1.3,52.87
철원,2023-12,15.6,-18.3,33.9,1006.3,79.0,69.4,1.4,50.02
철원,2024-01,9.1,-16.4,25.5,1006.8,74.0,7.2,1.2,56.22
철원,2024-02,17.4,-9.3,26.7,1006.2,78.0,48.2,1.5,46.69
철원,2024-03,21.7,-11.9,33.6,999.8,63.0,42.4,1.6,59.52
철원,2024-04,29.9,-0.8,30.7,996.1,63.0,17.9,1.7,60.71
철원,2024-05,27.9,5.3,22.599999999999998,995.2,71.0,156.5,1.5,60.93
철원,2024-06,35.8,10.4,25.4,990.0,69.0,98.1,1.3,67.46
철원,2024-07,33.4,19.0,14.399999999999999,988.9,87.0,759.5,1.7,31.39
철원,2024-08,35.7,17.8,17.900000000000002,990.1,83.0,232.9,1.2,57.83
철원,2024-09,33.9,10.2,23.7,996.3,83.0,179.2,1.5,51.72
철원,2024-10,24.3,3.4,20.900000000000002,1002.6,84.0,66.7,0.9,48.11
철원,2024-11,22.2,-7.7,29.9,1003.9,76.0,29.8,0.9,59.87
철원,2024-12,12.3,-16.9,29.2,1004.8,67.0,7.3,1.0,68.17
철원,2025-01,8.5,-20.6,29.1,1005.4,73.0,11.2,0.9,55.44
철원,2025-02,11.8,-18.1,29.900000000000002,1005.4,62.0,2.0,1.3,70.71
철원,2025-03,23.3,-7.3,30.6,1000.1,64.0,33.0,1.7,63.51
동두천,2023-04,28.7,-0.7,29.4,1001.1,59.0,94.6,1.5,50.32
동두천,2023-05,30.8,4.5,26.3,999.6,68.0,158.7,1.2,55.39
동두천,2023-06,33.0,13.8,19.2,993.5,79.0,218.4,1.1,43.6
동두천,2023-07,33.5,18.7,14.8,994.0,87.0,355.6,1.1,36.61
동두천,2023-08,34.3,18.7,15.599999999999998,992.4,87.0,255.9,1.0,38.28
동두천,2023-09,32.0,12.5,19.5,999.9,84.0,56.3,0.8,44.41
동두천,2023-10,23.6,1.5,22.1,1005.3,77.0,38.5,0.8,59.21
동두천,2023-11,25.7,-8.4,34.1,1007.7,68.0,93.4,1.5,53.0
동두천,2023-12,16.3,-16.3,32.6,1010.8,72.0,76.6,1.3,50.96
동두천,2024-01,10.3,-15.7,26.0,1011.4,69.0,13.2,1.1,53.99
동두천,2024-02,18.9,-7.0,25.9,1010.5,76.0,58.2,1.1,41.53
동두천,2024-03,23.6,-10.2,33.8,1004.4,57.0,38.0,1.6,56.29
동두천,2024-04,30.4,2.2,28.2,1000.3,59.0,22.2,1.3,55.93
동두천,2024-05,28.8,5.5,23.3,999.5,73.0,140.6,1.3,53.74
동두천,2024-06,35.2,11.6,23.6,994.2,71.0,96.7,1.1,61.3
동두천,2024-07,32.8,20.6,12.199999999999996,993.1,91.0,378.2,1.5,21.93
동두천,2024-08,35.2,19.7,15.500000000000004,994.0,87.0,146.5,0.9,47.73
동두천,2024-09,35.0,12.1,22.9,1000.0,86.0,178.0,0.8,43.77
동두천,2024-10,24.9,3.8,21.099999999999998,1006.7,84.0,57.2,0.7,45.39
동두천,2024-11,24.3,-5.5,29.8,1008.3,70.0,34.2,1.0,55.03
