city,year_month,count
가평,2023-03,53
가평,2023-04,46
가평,2023-05,68
가평,2023-06,44
가평,2023-07,67
가평,2023-08,60
가평,2023-09,61
가평,2023-10,32
가평,2023-11,57
가평,2023-12,68
가평,2024-01,73
가평,2024-02,63
가평,2024-03,57
가평,2024-04,109
가평,2024-05,25
가평,2024-06,46
가평,2024-07,96
가평,2024-08,67
가평,2024-09,108
가평,2024-10,51
가평,2024-11,76
가평,2024-12,81
가평,2025-01,32
가평,2025-02,34
가평,2025-03,20
가평,2025-04,27
강릉,2023-03,691
강릉,2023-04,45
강릉,2023-05,1073
강릉,2023-06,705
강릉,2023-07,690
강릉,2023-08,726
강릉,2023-09,746
강릉,2023-10,690
강릉,2023-11,666
강릉,2023-12,692
강릉,2024-01,680
강릉,2024-02,683
강릉,2024-03,693
강릉,2024-04,653
강릉,2024-05,699
강릉,2024-06,689
강릉,2024-07,668
강릉,2024-08,671
강릉,2024-09,746
강릉,2024-10,667
강릉,2024-11,686
강릉,2024-12,697
강릉,2025-01,653
강릉,2025-02,669
강릉,2025-03,611
강릉,2025-04,636
강진,2023-03,92
강진,2023-04,101
강진,2023-05,84
강진,2023-06,89
강진,2023-07,95
강진,2023-08,103
강진,2023-09,109
강진,2023-10,94
강진,2023-11,104
강진,2023-12,104
강진,2024-01,94
강진,2024-02,96
강진,2024-03,89
강진,2024-04,100
강진,2024-05,105
강진,2024-06,112
강진,2024-07,106
강진,2024-09,130
강진,2024-10,116
강진,2024-11,99
강진,2024-12,85
강진,2025-01,108
강진,2025-02,98
강진,2025-03,98
강진,2025-04,78
거제,2023-03,195
거제,2023-04,295
거제,2023-05,267
거제,2023-06,252
거제,2023-07,261
거제,2023-08,251
거제,2023-09,266
거제,2023-10,285
거제,2023-11,185
거제,2023-12,229
거제,2024-01,289
거제,2024-02,183
거제,2024-03,289
거제,2024-04,242
거제,2024-05,232
거제,2024-06,294
거제,2024-07,258
거제,2024-08,278
거제,2024-09,257
거제,2024-10,267
거제,2024-11,238
거제,2024-12,250
거제,2025-01,246
거제,2025-02,298
거제,2025-03,256
거제,2025-04,262
거창,2023-03,100
거창,2023-04,113
거창,2023-05,125
거창,2023-06,116
거창,2023-07,95
거창,2023-08,124
거창,2023-09,155
거창,2023-10,103
거창,2023-11,4
거창,2023-12,106
거창,2024-01,116
거창,2024-02,99
거창,2024-03,105
거창,2024-04,102
거창,2024-05,99
거창,2024-06,134
거창,2024-07,103
거창,2024-08,166
거창,2024-09,16
거창,2024-10,159
거창,2024-11,20
거창,2024-12,117
거창,2025-01,108
거창,2025-02,110
거창,2025-03,104
거창,2025-04,99
경산,2023-03,706
경산,2023-04,709
경산,2023-05,739
경산,2023-06,698
경산,2023-07,767
경산,2023-08,736
경산,2023-09,729
경산,2023-10,729
경산,2023-11,678
경산,2023-12,766
경산,2024-01,712
경산,2024-02,718
경산,2024-03,725
경산,2024-04,757
경산,2024-05,565
경산,2024-06,810
경산,2024-07,746
경산,2024-08,830
경산,2024-09,761
경산,2024-10,774
경산,2024-11,763
경산,2024-12,751
경산,2025-01,772
경산,2025-02,782
경산,2025-03,723
경산,2025-04,761
경주,2023-03,934
경주,2023-04,921
경주,2023-05,992
경주,2023-06,957
경주,2023-07,974
경주,2023-08,1007
경주,2023-09,986
경주,2023-10,982
경주,2023-11,968
경주,2023-12,965
경주,2024-01,968
경주,2024-02,963
경주,2024-03,964
경주,2024-04,943
경주,2024-05,901
경주,2024-06,557
경주,2024-07,1114
경주,2024-08,948
경주,2024-09,940
경주,2024-10,911
경주,2024-11,820
경주,2024-12,955
경주,2025-01,832
경주,2025-02,947
경주,2025-03,815
경주,2025-04,904
계룡,2023-03,38
계룡,2023-04,46
계룡,2023-05,52
계룡,2023-06,64
계룡,2023-07,53
계룡,2023-08,51
계룡,2023-09,16
계룡,2023-10,60
계룡,2023-11,15
계룡,2023-12,49
계룡,2024-01,55
계룡,2024-03,44
계룡,2024-04,32
계룡,2024-05,97
계룡,2024-07,47
계룡,2024-08,44
계룡,2024-09,46
계룡,2024-10,51
계룡,2024-12,92
계룡,2025-01,60
계룡,2025-02,53
계룡,2025-03,46
계룡,2025-04,46
고령,2023-03,55
고령,2023-04,52
고령,2023-05,60
고령,2023-06,58
고령,2023-07,65
고령,2023-08,61
고령,2023-09,53
고령,2023-10,54
고령,2023-11,53
고령,2023-12,61
고령,2024-01,60
고령,2024-02,52
고령,2024-03,60
고령,2024-04,76
고령,2024-05,64
고령,2024-06,56
고령,2024-07,18
고령,2024-08,81
고령,2024-09,48
고령,2024-10,71
고령,2024-11,52
고령,2024-12,70
고령,2025-01,58
고령,2025-02,70
고령,2025-03,55
고령,2025-04,69
고성,2023-03,121
고성,2023-04,119
고성,2023-05,132
고성,2023-06,132
고성,2023-07,132
고성,2023-08,123
고성,2023-09,134
고성,2023-10,131
고성,2023-11,114
고성,2023-12,107
고성,2024-01,142
고성,2024-02,97
고성,2024-03,131
고성,2024-04,102
고성,2024-05,131
고성,2024-06,148
고성,2024-07,135
고성,2024-08,142
고성,2024-09,129
고성,2024-10,134
고성,2024-11,111
고성,2024-12,126
고성,2025-01,119
고성,2025-02,150
고성,2025-03,136
고성,2025-04,138
고양,2023-03,2481
고양,2023-04,2457
고양,2023-05,3206
고양,2023-06,572
고양,2023-07,3109
고양,2023-08,3328
고양,2023-09,1887
고양,2023-10,2463
고양,2023-11,2827
고양,2023-12,2426
고양,2024-01,2489
고양,2024-02,2531
고양,2024-03,2427
고양,2024-04,2668
고양,2024-05,1997
고양,2024-06,1875
고양,2024-07,2653
고양,2024-08,2464
고양,2024-09,2288
고양,2024-10,2318
고양,2024-11,2380
고양,2024-12,2526
고양,2025-01,1595
고양,2025-02,2755
고양,2025-03,2333
고양,2025-04,2379
고창,2023-03,88
고창,2023-04,114
고창,2023-05,114
고창,2023-06,104
고창,2023-07,114
고창,2023-08,132
고창,2023-09,17
고창,2023-10,111
고창,2023-11,108
고창,2023-12,92
고창,2024-01,109
고창,2024-02,106
고창,2024-03,114
고창,2024-04,96
고창,2024-05,119
고창,2024-06,97
고창,2024-07,110
고창,2024-09,139
고창,2024-10,116
고창,2024-11,115
고창,2024-12,99
고창,2025-01,115
고창,2025-02,100
고창,2025-03,106
고창,2025-04,88
고흥,2023-03,147
고흥,2023-04,144
고흥,2023-05,155
고흥,2023-06,162
고흥,2023-07,155
고흥,2023-08,155
고흥,2023-09,134
고흥,2023-10,156
고흥,2023-11,127
고흥,2023-12,151
고흥,2024-01,155
고흥,2024-02,159
고흥,2024-03,150
고흥,2024-04,147
고흥,2024-05,158
고흥,2024-06,155
고흥,2024-07,144
고흥,2024-09,208
고흥,2024-10,163
고흥,2024-11,150
고흥,2024-12,129
고흥,2025-01,162
고흥,2025-02,113
고흥,2025-03,158
고흥,2025-04,136
곡성,2023-03,42
곡성,2023-04,42
곡성,2023-05,36
곡성,2023-06,31
곡성,2023-07,37
곡성,2023-08,39
곡성,2023-09,43
곡성,2023-10,41
곡성,2023-11,36
곡성,2023-12,37
곡성,2024-01,35
곡성,2024-02,39
곡성,2024-03,40
곡성,2024-04,20
곡성,2024-05,42
곡성,2024-06,19
곡성,2024-07,40
곡성,2024-09,49
곡성,2024-10,41
곡성,2024-11,42
곡성,2024-12,38
곡성,2025-01,40
곡성,2025-02,40
곡성,2025-03,40
곡성,2025-04,36
공주,2023-03,140
공주,2023-04,26
공주,2023-05,128
공주,2023-06,109
공주,2023-07,120
공주,2023-08,165
공주,2023-09,147
공주,2023-10,176
공주,2023-11,91
공주,2023-12,177
공주,2024-01,150
공주,2024-02,87
공주,2024-03,147
공주,2024-04,159
공주,2024-05,188
공주,2024-06,148
공주,2024-07,107
공주,2024-08,153
공주,2024-09,117
공주,2024-10,161
공주,2024-11,180
공주,2024-12,145
공주,2025-01,162
공주,2025-02,114
공주,2025-03,164
공주,2025-04,174
과천,2023-03,26
과천,2023-04,1
과천,2023-05,40
과천,2023-06,1
과천,2023-07,7
과천,2023-08,29
과천,2023-09,31
과천,2023-10,29
과천,2023-11,24
과천,2023-12,28
과천,2024-01,32
과천,2024-02,29
과천,2024-03,28
과천,2024-04,30
과천,2024-05,31
과천,2024-06,35
과천,2024-07,29
과천,2024-08,32
과천,2024-10,43
과천,2024-11,29
과천,2024-12,30
과천,2025-01,30
과천,2025-02,36
과천,2025-03,29
과천,2025-04,31
광명,2023-03,1449
광명,2023-04,1608
광명,2023-05,1614
광명,2023-06,1567
광명,2023-07,1660
광명,2023-08,1530
광명,2023-09,1246
광명,2023-10,1689
광명,2023-11,1577
광명,2023-12,1050
광명,2024-01,1216
광명,2024-02,1355
광명,2024-03,1392
광명,2024-04,1343
광명,2024-05,1337
광명,2024-06,1415
광명,2024-07,1388
광명,2024-08,1360
광명,2024-09,1400
광명,2024-10,1357
광명,2024-11,1264
광명,2024-12,1338
광명,2025-01,1252
광명,2025-02,1395
광명,2025-03,1324
광명,2025-04,1271
광양,2023-03,173
광양,2023-04,173
광양,2023-05,171
광양,2023-06,173
광양,2023-07,188
광양,2023-08,187
광양,2023-09,176
광양,2023-10,183
광양,2023-11,177
광양,2023-12,188
광양,2024-01,198
광양,2024-02,166
광양,2024-03,178
광양,2024-04,194
광양,2024-05,176
광양,2024-06,163
광양,2024-07,169
광양,2024-09,234
광양,2024-10,175
광양,2024-11,146
광양,2024-12,162
광양,2025-01,172
광양,2025-02,176
광양,2025-03,186
광양,2025-04,181
광주,2023-03,315
광주,2023-04,318
광주,2023-05,340
광주,2023-06,352
광주,2023-07,354
광주,2023-08,344
광주,2023-09,296
광주,2023-10,357
광주,2023-11,352
광주,2023-12,389
광주,2024-01,362
광주,2024-02,388
광주,2024-03,357
광주,2024-04,359
광주,2024-05,401
광주,2024-06,482
광주,2024-07,417
광주,2024-08,173
광주,2024-09,534
광주,2024-10,394
광주,2024-11,388
광주,2024-12,414
광주,2025-01,367
광주,2025-02,427
광주,2025-03,422
광주,2025-04,421
괴산,2023-03,69
괴산,2023-04,70
괴산,2023-05,81
괴산,2023-06,94
괴산,2023-07,68
괴산,2023-08,36
괴산,2023-09,65
괴산,2023-10,87
괴산,2023-11,29
괴산,2023-12,68
괴산,2024-01,70
괴산,2024-02,67
괴산,2024-03,75
괴산,2024-04,81
괴산,2024-05,71
괴산,2024-06,16
괴산,2024-07,73
괴산,2024-08,69
괴산,2024-09,69
괴산,2024-10,66
괴산,2024-11,71
괴산,2024-12,70
괴산,2025-01,76
괴산,2025-02,66
괴산,2025-03,72
괴산,2025-04,70
구례,2023-03,69
구례,2023-04,74
구례,2023-05,71
구례,2023-06,82
구례,2023-07,70
구례,2023-08,77
구례,2023-09,84
구례,2023-10,73
구례,2023-11,76
구례,2023-12,76
구례,2024-01,77
구례,2024-02,81
구례,2024-03,74
구례,2024-04,69
구례,2024-05,70
구례,2024-06,74
구례,2024-07,75
구례,2024-09,95
구례,2024-10,83
구례,2024-11,66
구례,2024-12,64
구례,2025-01,70
구례,2025-02,78
구례,2025-03,74
구례,2025-04,68
구리,2023-03,282
구리,2023-04,281
구리,2023-05,267
구리,2023-06,266
구리,2023-07,287
구리,2023-08,248
구리,2023-09,221
구리,2023-10,49
구리,2023-11,307
구리,2023-12,301
구리,2024-01,257
구리,2024-02,255
구리,2024-03,256
구리,2024-04,249
구리,2024-05,255
구리,2024-06,241
구리,2024-07,262
구리,2024-08,280
구리,2024-09,246
구리,2024-10,265
구리,2024-11,245
구리,2024-12,256
구리,2025-01,263
구리,2025-02,254
구리,2025-03,267
구리,2025-04,275
구미,2023-03,556
구미,2023-04,540
구미,2023-05,577
구미,2023-06,565
구미,2023-07,563
구미,2023-08,583
구미,2023-09,600
구미,2023-10,617
구미,2023-11,564
구미,2023-12,549
구미,2024-01,586
구미,2024-02,499
구미,2024-03,561
구미,2024-04,565
구미,2024-05,580
구미,2024-06,586
구미,2024-07,517
구미,2024-08,719
구미,2024-09,533
구미,2024-10,598
구미,2024-11,514
구미,2024-12,492
구미,2025-01,459
구미,2025-02,532
구미,2025-03,461
구미,2025-04,494
군산,2023-03,719
군산,2023-04,711
군산,2023-05,712
군산,2023-06,737
군산,2023-07,708
군산,2023-08,718
군산,2023-09,661
군산,2023-10,700
군산,2023-11,743
군산,2023-12,719
군산,2024-01,681
군산,2024-02,811
군산,2024-03,622
군산,2024-04,745
군산,2024-05,727
군산,2024-06,795
군산,2024-07,762
군산,2024-09,986
군산,2024-10,795
군산,2024-11,773
군산,2024-12,772
군산,2025-01,751
군산,2025-02,804
군산,2025-03,725
군산,2025-04,706
군포,2023-03,488
군포,2023-04,458
군포,2023-05,402
군포,2023-06,455
군포,2023-07,612
군포,2023-08,523
군포,2023-09,383
군포,2023-10,533
군포,2023-11,466
군포,2023-12,462
군포,2024-01,336
군포,2024-02,436
군포,2024-03,456
군포,2024-04,448
군포,2024-05,472
군포,2024-06,454
군포,2024-07,470
군포,2024-08,514
군포,2024-09,364
군포,2024-10,458
군포,2024-11,443
군포,2024-12,521
군포,2025-01,53
군포,2025-02,552
군포,2025-03,478
군포,2025-04,454
금산,2023-03,76
금산,2023-04,90
금산,2023-05,79
금산,2023-06,95
금산,2023-07,87
금산,2023-08,75
금산,2023-09,85
금산,2023-10,80
금산,2023-11,65
금산,2023-12,87
금산,2024-01,77
금산,2024-02,95
금산,2024-03,89
금산,2024-04,72
금산,2024-05,87
금산,2024-06,80
금산,2024-07,76
금산,2024-08,69
금산,2024-09,80
금산,2024-10,71
금산,2024-11,83
금산,2024-12,89
금산,2025-01,80
금산,2025-02,101
금산,2025-03,86
금산,2025-04,89
김제,2023-03,166
김제,2023-04,143
김제,2023-05,157
김제,2023-06,153
김제,2023-07,166
김제,2023-08,144
김제,2023-09,151
김제,2023-10,165
김제,2023-11,160
김제,2023-12,152
김제,2024-01,157
김제,2024-02,157
김제,2024-03,165
김제,2024-04,144
김제,2024-05,148
김제,2024-06,145
김제,2024-07,159
김제,2024-09,182
김제,2024-10,140
김제,2024-11,130
김제,2024-12,139
김제,2025-01,137
김제,2025-02,141
김제,2025-03,144
김제,2025-04,141
김천,2023-03,297
김천,2023-04,260
김천,2023-05,294
김천,2023-06,304
김천,2023-07,347
김천,2023-08,355
김천,2023-09,353
김천,2023-10,353
김천,2023-11,325
김천,2023-12,335
김천,2024-01,337
김천,2024-02,334
김천,2024-03,312
김천,2024-04,300
김천,2024-05,307
김천,2024-06,322
김천,2024-07,287
김천,2024-08,313
김천,2024-09,304
김천,2024-10,313
김천,2024-11,292
김천,2024-12,309
김천,2025-01,282
김천,2025-02,318
김천,2025-03,225
김천,2025-04,282
김포,2023-03,595
김포,2023-04,775
김포,2023-05,652
김포,2023-06,342
김포,2023-07,869
김포,2023-08,634
