지점,지점명,일시,최고기온(°C),최저기온(°C),평균현지기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일조시간(hr),일조율(%)
90,속초,2023-04,26.9,4,1011.6,61,57,2.2,5.2,212.2,53.61
90,속초,2023-05,34.4,5.5,1010.9,67,81,1.9,5.6,232.6,52.66
90,속초,2023-06,34.3,13.3,1004.5,74,200.1,1.8,5.3,244.9,55.26
90,속초,2023-07,35.1,19.6,1004.6,79,108.2,1.5,6.4,184.5,40.95
90,속초,2023-08,36.6,19.1,1004.5,85,669.6,1.4,6.9,121.9,47.36
90,속초,2023-09,30.6,13.6,1011.8,81,208.2,1.4,6.1,156.6,41.91
90,속초,2023-10,25.5,6.3,1015.5,59,31.4,1.8,3.6,218.1,62.69
90,속초,2023-11,27.5,-6,1016.5,48,60.1,2.4,3.3,208.7,68.58
90,속초,2023-12,19,-13.2,1020.7,56,205,2.3,4,174,58.72
90,속초,2024-01,11.1,-12.3,1021.2,53,11.6,2,3.3,203.4,66.64
90,속초,2024-02,18.1,-5.6,1023.1,75,125.7,1.7,6.6,109.7,35.1
90,속초,2024-03,20.6,-7.4,1015.2,58,58.6,2.2,4.4,212.9,57.32
90,속초,2024-04,27.1,2.1,1012.1,66,63.4,2.2,4.3,195.2,52.74
90,속초,2024-05,33.2,6.5,1009.7,61,63.4,2.6,4.1,253.2,59.13
90,속초,2024-06,34.2,11.2,1004.8,74,133.8,2.1,3.8,279.7,63.08
90,속초,2024-07,36.5,19.2,1003.1,75,109.3,2.4,6.7,150.5,33.41
90,속초,2024-08,36.6,20.7,1005.7,79,46.4,2.1,4.3,229,54.29
90,속초,2024-09,31.3,13.4,1012.7,85,457.9,2.2,6.6,114.2,30.63
90,속초,2024-10,25,8.1,1018.2,74,143.2,2.1,5.7,131.8,37.98
90,속초,2024-11,21.8,-.9,1018.8,61,17.6,2.5,4.4,169,55.68
90,속초,2024-12,15.5,-5.2,1017.8,36,3.2,2.8,2.5,222.3,75.03
90,속초,2025-01,10.6,-11.5,1019.2,43,14.5,3,3.1,201.8,66.03
90,속초,2025-02,16.7,-11.5,1018.5,34,,3,1.7,234.1,77.49
90,속초,2025-03,24.9,-2.5,1015.7,61,98.4,2.8,4.8,201.4,54.24
93,북춘천,2023-04,27.8,-2.2,1003.6,65,95.7,1.6,5.5,208.2,52.67
93,북춘천,2023-05,31.4,2.3,1002.3,69,112.4,1.4,5.3,281.4,63.84
93,북춘천,2023-06,33.7,12.3,996,77,280.7,1.3,5.8,235,54.88
93,북춘천,2023-07,34.8,17.9,996.6,85,318.1,1.1,6.9,192.9,42.9
93,북춘천,2023-08,35.2,18.9,995.2,83,203.6,1.1,6.8,202.8,48.05
93,북춘천,2023-09,32.4,11.5,1002.8,84,119.5,.9,6.7,183.5,49.12
93,북춘천,2023-10,23.5,-.2,1008.1,82,25.9,.8,5.2,195.9,56.26
93,북춘천,2023-11,25.9,-9.7,1010.1,71,80.3,1.3,4.2,181.9,59.64
93,북춘천,2023-12,16.9,-16.9,1013.6,72,77.3,1.1,4.8,164.6,55.29
93,북춘천,2024-01,10,-16.6,1013.9,66,8.9,1.1,3.9,189.9,62.06
93,북춘천,2024-02,17.3,-8.2,1013.6,69,45,1.1,6.7,142.7,45.56
93,북춘천,2024-03,22.5,-11.3,1006.8,55,40.9,1.5,4.5,219.4,59.04
93,북춘천,2024-04,30.6,0,1003,60,27.6,1.4,4.7,235.5,59.42
93,북춘천,2024-05,29.3,4.9,1002,69,126.9,1.4,4.3,260.6,59.04
93,북춘천,2024-06,36.1,9.9,996.6,69,124.5,1.3,4.4,299.6,67.65
93,북춘천,2024-07,34.1,20.5,995.7,86,411.1,1.4,7.9,149.1,33.18
93,북춘천,2024-08,36.2,18.5,996.7,80,92.7,1.1,4.9,257.3,61.1
93,북춘천,2024-09,35.4,10.4,1003.1,81,184.9,1,6,191.8,51.48
93,북춘천,2024-10,24.7,3.9,1009.6,82,68.5,.9,5.8,165.7,47.67
93,북춘천,2024-11,23,-6.5,1010.9,75,27.7,1,4.2,201.3,66.15
93,북춘천,2024-12,11.9,-14,1011.8,63,3.6,1,3,209.7,70.46
93,북춘천,2025-01,8.8,-19.2,1012.6,69,16.6,1,4,174.6,56.95
93,북춘천,2025-02,12.5,-17.3,1012.4,54,1.5,1.5,1.9,245.6,81.19
93,북춘천,2025-03,24.3,-6.6,1007.1,58,26.2,1.6,4.8,233.9,63.03
95,철원,2023-04,27,-1.6,996.5,64,97.5,1.6,5,213.9,54.1
95,철원,2023-05,30.1,3,995.4,67,161.9,1.5,5.2,280.8,63.62
95,철원,2023-06,33.3,12,989.4,78,220.4,1.3,5.4,234.1,54.66
95,철원,2023-07,33.6,17.7,989.9,86,383.4,1.3,6.4,202.3,44.92
95,철원,2023-08,33.8,17.9,988.6,85,241.6,1.5,6.8,198.5,46.97
95,철원,2023-09,31.8,10.7,995.9,84,102.9,1.2,6.2,192.8,51.59
95,철원,2023-10,22.8,-.4,1001,79,30.5,.9,4.1,229.3,65.89
95,철원,2023-11,24.6,-11.6,1003.1,73,104.9,1.3,3.7,161,52.87
95,철원,2023-12,15.6,-18.3,1006.3,79,69.4,1.4,4.5,148.4,50.02
95,철원,2024-01,9.1,-16.4,1006.8,74,7.2,1.2,3.4,171.7,56.22
95,철원,2024-02,17.4,-9.3,1006.2,78,48.2,1.5,5.9,146,46.69
95,철원,2024-03,21.7,-11.9,999.8,63,42.4,1.6,4.4,221.1,59.52
95,철원,2024-04,29.9,-.8,996.1,63,17.9,1.7,4.5,240.7,60.71
95,철원,2024-05,27.9,5.3,995.2,71,156.5,1.5,4,269.3,60.93
95,철원,2024-06,35.8,10.4,990,69,98.1,1.3,4,298.9,67.46
95,철원,2024-07,33.4,19,988.9,87,759.5,1.7,7.2,141.2,31.39
95,철원,2024-08,35.7,17.8,990.1,83,232.9,1.2,4.7,243.8,57.83
95,철원,2024-09,33.9,10.2,996.3,83,179.2,1.5,5.8,192.8,51.72
95,철원,2024-10,24.3,3.4,1002.6,84,66.7,.9,4.8,167.1,48.11
95,철원,2024-11,22.2,-7.7,1003.9,76,29.8,.9,4.3,181.9,59.87
95,철원,2024-12,12.3,-16.9,1004.8,67,7.3,1,3,202.2,68.17
95,철원,2025-01,8.5,-20.6,1005.4,73,11.2,.9,4.8,169.6,55.44
95,철원,2025-02,11.8,-18.1,1005.4,62,2,1.3,2.8,213.7,70.71
95,철원,2025-03,23.3,-7.3,1000.1,64,33,1.7,4.5,235.8,63.51
98,동두천,2023-04,28.7,-.7,1001.1,59,94.6,1.5,5.3,198.9,50.32
98,동두천,2023-05,30.8,4.5,999.6,68,158.7,1.2,5.3,244.2,55.39
98,동두천,2023-06,33,13.8,993.5,79,218.4,1.1,5.3,193,43.6
98,동두천,2023-07,33.5,18.7,994,87,355.6,1.1,6.1,164.6,36.61
98,동두천,2023-08,34.3,18.7,992.4,87,255.9,1,6.6,161.6,38.28
98,동두천,2023-09,32,12.5,999.9,84,56.3,.8,6.2,165.9,44.41
98,동두천,2023-10,23.6,1.5,1005.3,77,38.5,.8,4.2,206.3,59.21
98,동두천,2023-11,25.7,-8.4,1007.7,68,93.4,1.5,3.7,161.7,53
98,동두천,2023-12,16.3,-16.3,1010.8,72,76.6,1.3,4,151.8,50.96
98,동두천,2024-01,10.3,-15.7,1011.4,69,13.2,1.1,3.1,165.2,53.99
98,동두천,2024-02,18.9,-7,1010.5,76,58.2,1.1,5.8,130,41.53
