"년월","시군구","인원"
"2023-03","강원도 강릉시","691"
"2023-03","강원도 고성군","20"
"2023-03","강원도 동해시","268"
"2023-03","강원도 삼척시","76"
"2023-03","강원도 속초시","205"
"2023-03","강원도 양구군","37"
"2023-03","강원도 양양군","60"
"2023-03","강원도 영월군","79"
"2023-03","강원도 원주시","1141"
"2023-03","강원도 인제군","60"
"2023-03","강원도 정선군","34"
"2023-03","강원도 철원군","122"
"2023-03","강원도 춘천시","1145"
"2023-03","강원도 태백시","90"
"2023-03","강원도 평창군","15"
"2023-03","강원도 홍천군","147"
"2023-03","강원도 화천군","25"
"2023-03","강원도 횡성군","100"
"2023-03","경기도 가평군","53"
"2023-03","경기도 고양시","2481"
"2023-03","경기도 과천시","26"
"2023-03","경기도 광명시","1449"
"2023-03","경기도 광주시","170"
"2023-03","경기도 구리시","282"
"2023-03","경기도 군포시","488"
"2023-03","경기도 김포시","595"
"2023-03","경기도 남양주시","403"
"2023-03","경기도 동두천시","247"
"2023-03","경기도 부천시","430"
"2023-03","경기도 성남시","591"
"2023-03","경기도 수원시","1884"
"2023-03","경기도 시흥시","412"
"2023-03","경기도 안산시","448"
"2023-03","경기도 안성시","199"
"2023-03","경기도 안양시","769"
"2023-03","경기도 양주시","179"
"2023-03","경기도 양평군","153"
"2023-03","경기도 여주시","170"
"2023-03","경기도 연천군","83"
"2023-03","경기도 오산시","173"
"2023-03","경기도 용인시","464"
"2023-03","경기도 의왕시","111"
"2023-03","경기도 의정부시","765"
"2023-03","경기도 이천시","120"
"2023-03","경기도 파주시","338"
"2023-03","경기도 평택시","678"
"2023-03","경기도 포천시","168"
"2023-03","경기도 하남시","235"
"2023-03","경기도 화성시","252"
"2023-03","경남 거제시","195"
"2023-03","경남 거창군","100"
"2023-03","경남 고성군","101"
"2023-03","경남 김해시","674"
"2023-03","경남 남해군","58"
"2023-03","경남 밀양시","223"
"2023-03","경남 사천시","59"
"2023-03","경남 산청군","24"
"2023-03","경남 양산시","333"
"2023-03","경남 의령군","56"
"2023-03","경남 진주시","785"
"2023-03","경남 창녕군","20"
"2023-03","경남 창원시","2338"
"2023-03","경남 통영시","211"
"2023-03","경남 하동군","68"
"2023-03","경남 함안군","96"
"2023-03","경남 함양군","66"
"2023-03","경남 합천군","58"
"2023-03","경북 경산시","706"
"2023-03","경북 경주시","934"
"2023-03","경북 고령군","55"
"2023-03","경북 구미시","556"
"2023-03","경북 김천시","297"
"2023-03","경북 문경시","219"
"2023-03","경북 봉화군","38"
"2023-03","경북 상주시","350"
"2023-03","경북 성주군","76"
"2023-03","경북 안동시","532"
"2023-03","경북 영덕군","103"
"2023-03","경북 영양군","31"
"2023-03","경북 영주시","284"
"2023-03","경북 영천시","246"
"2023-03","경북 예천군","65"
"2023-03","경북 울진군","47"
"2023-03","경북 의성군","123"
"2023-03","경북 청도군","96"
"2023-03","경북 칠곡군","80"
"2023-03","경북 포항시","1303"
"2023-03","광주시 광산구","15"
"2023-03","광주시 남구","53"
"2023-03","광주시 동구","31"
"2023-03","광주시 서구","46"
"2023-03","대구시 군위군","45"
"2023-03","대구시 남구","14"
"2023-03","대구시 달서구","13"
"2023-03","대구시 달성군","15"
"2023-03","대구시 동구","284"
"2023-03","대구시 북구","125"
"2023-03","대구시 서구","27"
"2023-03","대구시 수성구","31"
"2023-03","대구시 중구","7"
"2023-03","대전시 대덕구","14"
"2023-03","대전시 동구","67"
"2023-03","대전시 서구","75"
"2023-03","대전시 유성구","39"
"2023-03","대전시 중구","29"
"2023-03","부산시 강서구","8"
"2023-03","부산시 금정구","1061"
"2023-03","부산시 기장군","346"
"2023-03","부산시 남구","518"
"2023-03","부산시 동구","33"
"2023-03","부산시 동래구","419"
"2023-03","부산시 부산진구","59"
"2023-03","부산시 북구","524"
"2023-03","부산시 사상구","29"
"2023-03","부산시 사하구","450"
"2023-03","부산시 서구","35"
"2023-03","부산시 수영구","225"
"2023-03","부산시 연제구","15"
"2023-03","부산시 영도구","321"
